,書籍名稱,作者,劇情簡介,分類
38,說對一句話，99％的事都能解決,李勁,上市一年中國與亞馬遜銷量破170萬冊抖音破天荒推薦為「入社會必讀」三書之一　　《99%的人輸在不會表達》系列臺灣、大陸累計銷量更突破400萬冊　　蟬聯商業書排行榜800天以上，2018、2019、2020年度十大暢銷書　　一錘定音終極版，告別笨嘴拙舌，一句話扭轉99%的狀況。　　◎說服對方，最有力的一句話是：「我是站在你這邊的！」　　◎這句話最容易惹毛對方：「怎麼你又……」、「你老毛病就是不改。」　　◎不贊同對方意見又不想得罪人？這時該說：「你可以問一下別人的看法」。　　◎再好的朋友，有三種玩笑開不得；再親密的家人也要哄、誇、讚。　　美國人類行為科學研究發現，　　發生在成功人士身上的奇蹟，有一半是口才創造出來的，　　說對一句話，99%以上的事都能解決。　　作者李勁是資深文案、企劃編輯，工作就是花大把時間跟人說話，　　逼得他必須熱衷於心理學與人際交往。他用自己的人生經驗終於搞懂：　　工作與生活中，表達能力強的人往往與同事相處融洽，深受老闆賞識，　　生活滿意度也比較高。如果你正煩惱自己：　　想說的話不知怎麼開口、　　老說些讓自己後悔的話、　　該說的事項一大堆但說不清楚、講不到重點，　　本書的技巧，可以讓你的人生再也不會輸在表達上。　　．聽出別人的試探，你才能正確回話　　三國時代，劉備臨終對諸葛亮說：　　「如果我兒子劉禪沒才能，你就取而代之吧！」劉備的用意是？　　諸葛亮為何不說：「好」，而是回：「臣願鞠躬盡瘁，死而後已」？　　想要說對話，得先聽出對方的話中話。　　「我不確定這樣可不可行」，他的意思是「這根本不行」；　　「你可以問一下別人的看法」，他想說的是「我不同意」。　　．自以為是的善意更傷人　　借錢給好友，直說：「拿去用吧，不用還了！」他反而不高興？　　「我送給你的那件牛仔褲，還合穿嗎？」這句話哪裡得罪人？　　記得，幫過別人的事，最好做完就忘。因為，直率和白目，只有一線之隔。　　．講話沒人聽？這樣說，99%的人心甘情願照著做　　春秋時代，孔子想「求見」老子，老子不見，說「求教」，對方就答應了！　　差一個字，結果大不同。　　公車司機扯破嗓大喊：「麻煩往裡面擠一擠！」乘客都不理。　　改說：「裡面還很空喔！」大家就開始移動。兩句話差在哪裡？　　某家航空公司的服務評比一直很差，公司深入調查才發現，　　空服員送餐時，老問乘客：「你要飯？還是要麵？」　　你要常說話，但不必說長話；要學會講故事，但不能只單純說故事；　　表達高手最常用的說話技巧，最完整的整理。各界推薦　　溝通表達培訓師／張忘形　　「一談就贏」創辦人、國際權威談判講師／鄭志豪,商業財經
39,理想情緒：用草藥、精油、適應原找到內在平衡的情緒排毒計畫,莎拉．查納．希爾佛斯坦、蘇珊．高蘭,"這是一本全方位的情緒照護指南，寫給被生活折磨得很累的你。 什麼是理想情緒？了解心情好、心情壞都只是一個循環，情緒波動是正常的。人不會永遠是正能量，也不會永遠不快樂，只要弄清楚情緒週期，不要在某一階段停留太久，就能找到屬於自己的靜心理想境地。 ★高級藥草專家的獨門配方★最天然的情緒療癒法★90日找回健康情緒 本書作者運用治療上千名女性所得的經驗與自身藥草學專業知識，加上適應原、色彩學、芳療、風水與飲食，幫助你紓解壓力，並獲得全方位的情緒平衡。她的方法以溫和、無副作用為主訴求。藉由改變生活上一些細節來改善負能量以及壞情緒。 #味道──藉由鮮花、植物、精油、香氛的味道改善病人家裡「生病的氣味」、鬱悶的居家空氣，讓呼吸更愉悅。 #色彩──每個顏色都有代表的氣氛和能量，是一種潛移默化的感覺。安排讓自己開心的顏色在生活周遭、挑選適合自己顏色的衣服，有助於提振心情。 #藥草調理──天然的植物中含有很多養分與香氣，能夠溫和的調理失衡的健康、香味也能夠改變內分泌，緩解情緒。 #食譜──結合適應原幫助你的肝臟排毒、補充身體養分，清理生理毒素。 ▎如何使用本書1. 學會什麼是「平靜心情的循環」：接納自己反覆出現的情緒本質，紀錄在什麼情況下會出現情緒化的反應。一旦你注意到自己特殊的導火線，就能夠跟著本書的建議，改善情緒。2. 使用適應原養護肝臟，讓身體進行物理性的排毒，準備以最輕鬆狀態迎接靜心。3. 使用天然藥草和香氛療法，幫助減輕壓力和平息負面情緒。本書詳列多種對症精油供參考，提升身體、情緒和精神健康。4. 利用生活小智慧，例如風水擺設、色彩學、食譜。從吸引你的那幾個方法試試看，因為它們能夠幫助你專注內在，更能自我實踐、更有力量。5. 本書提供90天循序漸進的計畫，運用各種書中建議。這裡會有教你做出能量低落時提振精神的點心食譜，也會有針對不同問題提供各種療法的表格。這會是你的理想情緒計畫。",心靈勵志
40,後來，我喜歡的人都像你,萬詩語,如果世界對你不溫柔，我願做你的世界。　　　　　　　　　　　――我就是這樣的喜歡你。★每個人心裡都有一個忘不掉的人吧？★★就好像，我無法複製的青春裡，有你。★「詩語的文字，讓我想起了很多年前自己喜歡的一個人，感覺整顆心都癢起來了。青春真好。」恰是這種朦朧的感覺，讓青春的愛戀變得含蓄而雋永，令人回想和難忘，彷彿那種感覺賦予了青春存在的意義。90後新銳撰稿人萬詩語，深情細膩而有療癒藥效的文字，陪你經歷每段不復重來的時光。你看向我的時候，世界突然變得一塵不染。從那時起，不管我念與不念你，你都沉澱在我眼裡；不管我想與不想你，你都落入我腦海裡；不管我喜歡你還是討厭你，你都深深地埋藏在我心底……。於是，想寄一封情書給你，把自己寫給你看：＃相遇＞＞․遇見你之後的時光，我的世界變得簡單無比。人分兩類，是你和不是你；時間分兩類，你在的時候和你不在的時候。․喜歡一個人，每次遇見都像重逢。․愛情可以很簡單，就是我很想遇見你的時候，你也正好在找我。＃暗戀＞＞․偷偷喜歡你，就像是一場漫長的失戀。․原來喜歡一個人的第一個感覺，是會害怕。․「晚安」是開不了口的「我喜歡你」。․暗戀就是，怕你知道，又怕你不知道，最怕你知道，卻裝作不知道。＃愛＞＞․他的缺點多不多？像星星一樣多。那優點呢？像太陽一樣少。那你為什麼會選擇他？因為太陽一出來，星星就消失了啊。․雖然愛情會讓人變笨，但我不介意更笨一點。․這個世界哪有那麼多的一見如故、無話不談？你說的話題我都感興趣，你說的風景我也覺得很美麗，你讓我看的電影我也覺得好精彩，這一切只不過是因為我喜歡你。＃想念＞＞․我每天只想你一次，卻持續了二十四小時。․如果思念會有聲音，你早已嫌我吵了。․你在時，你是一切；你不在時，一切是你。＃後來＞＞․當青梅枯萎，竹馬老去。此後我愛上的人，都很像你。․有一些事情，只有與青春綁在一起才是美好。或許我們一直念念不忘的，不是那個人，而是那段時光，還有那個時候的自己。․一段感情曾經犯下的錯，都會希望在下一個人身上尋求救贖，所以往往是你教會了我珍惜，我卻以之相伴他人；我教會了你愛情，你卻與另一個人共度餘生。,文學
41,你有多獨立，就有多美好,王珣,女人要有一顆穩定的內心，做個努力又獨立的自己。獻給過著生活卻丟了自己的女人──獨立，不是與生活對抗，而是成為更好的自己！其實，你和生活可以一起變美。學會富養自己、富愛自己，用心經營自己的生活；學會選擇、學會放棄，努力過好每一個當下。女人最好的生活狀態是你不怕老，甚至是你看上去比實際年齡還年輕。如果沒有人陪你顛沛流離，那你就做自己的太陽，溫暖自己的每一寸人生。把自己過得健康自信、美麗自律，享受路上的每一場相遇。世上人山人海，你可以邊走邊愛。這本書，寫給每一個在生活中缺乏安全感的你。作者王珣集結四十三個婚姻困局與情感危機的真實案例，希望透過書中故事，讓女人懂得在心理和生理上成為一個豐富多姿的人。願你不為家庭所困，不因婚姻所惑，不與委屈和解，不向安穩妥協。願你獨立又美好！【邁向人生美好的知心語錄】 找不到對的人，可能是你改不掉錯的自己。 勇敢去愛，但不要相信自己為愛而生。 女人最美的樣子，是你靠自己過更好的生活。 我們自己要懂得挖掘自身的美，自信都是從這樣的努力和堅持中變得強大，又成為你的氣質和魅力。 長得好看是上天的恩賜，活得好看卻是我們後天修練的本事。 所有的生活現狀都可以發生改變，所有的困難都可以過去，重點是你選擇了什麼又做了什麼。 有時候，我們並非需要完全走出了傷痛才能重新開始，而是學會了帶著傷痛繼續生活。 我們根本不需要告訴別人自己的夢想，不需要婚姻拯救命運，不需要向別人訴苦，即便眼前的世界看起來不太美好，也可以憑藉自己的努力改變和堅持，讓一切都慢慢變得沒那麼糟糕。,心靈勵志
42,愛我,亞斯莫,"女法醫版的《沉默的羔羊》，東方版的《追殺夏娃》。 惡夢，我帶走了！我愛妳。 精神科權威醫師父親自殺了！是陰謀？還是意外？ 私欲與謊言 女法醫方心渝追逐貌美迷人的女瑜伽師蔡怡君，想從其中找出父親自殺的謎團。在充滿算計的交心過程、情慾流竄的魅惑眼眸中，兩人間的情感如假似真……蔡怡君，美的令人屏息，無法忽視的魅惑力卻是致命的武器。窒息性的愛情，讓每一任愛著她的男人、女人各個死於非命，而她，卻總能全身而退。方心渝，崩潰甦醒在無盡的惡夢中，支持她活下去的唯一動力，就是追著她。 真相藏匿於愛與不愛、殺與不殺之間……讓人命喪於無形的方法，方心渝最後能否抽絲剝繭，順利找到解答？ 作者以細膩深刻的手法呈現出犯罪背後的人性黑暗面，帶領讀者進入峰迴路轉的謎團中，沉浸於不斷襲來的事件揪緊心情，是一部緊撓人心的懸疑佳作。",言情 輕小說
43,金色幸運符,菲卓．派崔克,意外發現的黃金墜飾手鍊，串起一段關於悼念摯愛與重啟人生的旅程。　　『是那些曾經有過的故事，豐富了我們的生命。』　　★授權德國、法國、挪威、日本、韓國等21國版權　　★goodreads網站1.2萬人4顆星評價，2000條評語　　★英國Lovereading.co.uk 2016年最佳小說　　★Red magazine四月最佳小說　　★Kobo’s當月最佳小說　　★Indie Next List當月最佳小說　　一段從過去出發到未來的旅程。　　始終走不出喪妻之痛的亞瑟，因為不想面對鄰居的憐憫眼神，連家門也不踏出一步。　　直到妻子逝世一年後的忌日，決定從整理她的遺物開始，逐步重拾生活步調，卻在衣櫃裡發現一條他從未見過的黃金墜飾手鍊，上面鑲著八個精緻的幸運符（Lucky Charm），分別是：大象、花朵、書本、調色盤、老虎、頂針、心及戒指。　　然而妻子向來個性務實，為何會瞞著他收藏如此華麗的飾品？　　為了查出真相，亞瑟走出家門，根據每個墜飾的線索一一探尋，竟發現了妻子不為人知的過去......　　所有的發現都讓他感到無比困惑，為何曾經有著活力四射、多采多姿生活的妻子，竟會選擇與一個無趣的鎖匠共度一生？　　原本是一趟為了尋找妻子秘密過往而踏上的冒險，也因為一路上遇到的人們，讓亞瑟開始思索生命裡的憂傷與美好，繁華與淡麗。　　他有可能不再是那個始終靜默、躲著人群、無法對子女表達愛意的父親，並且從缺席的回憶裡重構未來嗎？媒體好評　　每日郵報［Daily Mail］：　　「這是一個圍繞著許多幸運符的溫馨故事，讓我好想為主角亞瑟打打氣。」　　圖書館雜誌［Library Journal］：　　「這是一部精彩的首部作品，溫馨、有趣而且令人驚奇。除了運用時下的流行元素外，還有如同發生在你我周遭的生活故事。」　　出版人周刊［Publishers Weekly］：　　「派崔克的首部作品提供許多美妙卻又悲傷的情節，這是個甜蜜的故事。」　　哈潑時尚雜誌［Harper’s Bazaar］：　　「迷人又令人無法忘懷的故事情節。」　　太陽報［The Sun］：　　「從書名到內容都十分令人著迷，這本書是心靈的良藥。」　　科克斯書評［Kirkus］：　　「這個故事就像是在一個冷冽的午後，提供你一杯熱茶般的溫暖人心。」　　書單［Booklist］：「派崔克的首部小說描述了一個關於婚姻當中的悲傷和甜蜜記憶。讀者可以發現，老實的大叔亞瑟可愛的一面。」讀者好評　　我已經很久沒有讀過如此令人愉快的溫情小說了，這本書讓我很難將它放下，甚至讓我有點愛上了亞瑟派普這位大叔。這是一個關於年過半百之後的中年大叔走在人生的十字路口上，決定如何過他的人生下半場。──Susan　　我喜歡這本充滿冒險、智慧、有趣，又溫馨的小說。讓人意想不到的故事情節，讓生活更加豐富有趣。這是個有品味的故事，時而幽默，時而又會被悲傷所觸動。而書中對記憶的描述也令人動容，就像是真相的陰影般存在。──Pamela　　這將是我在2016年最喜歡的小說之一。　　我喜歡故事當中對於失去摯愛的悲傷，以及美好的友誼。這是個迷人、有趣和溫暖的故事，我想我愛上了亞瑟派普了。──Robin　　我很高興我閱讀到了這本書。這是一個關於悲傷和希望的故事，在失去摯愛後不知道該如何面對生活的旅程。值得一讀再讀的一本書。讓我們這麼做來迎接2017年。──Steph　　這個故事非常純真、迷人、勵志、幽默，卻也令人心碎。亞瑟派普就同我的未來縮影。我的意思是說，當有人按門鈴時，我也曾像雕像一樣站著假裝我不在家。他讓我想再次旅行，去見識一下新奇的事物。我喜歡亞瑟的轉變，因為他走出了舒適區，無畏懼地勇往直前。這是個好故事，我迫不及待地想要推薦大家閱讀。亞瑟讓我想成為一個更好的男人。──M,文學
44,養成有錢體質,橫山光昭,"根據人力銀行最新統計，臺灣39歲以下族群，　　個人名下總存款，平均只有13.3萬元，　　甚至有超過兩成的人，零積蓄。　　◎住公司附近，省通勤費但房租高；跟上班通勤但住家遠，你怎麼選？　　◎投資自己很重要，所以買了健身課程、高爾夫球課……其實這些最容易浪費錢。　　◎「請問你，昨天一共花了多少錢？」你只能大概、還是能精確回答？　　薪水永遠追不上物價，我還有可能提早財富自由嗎？　　當然，只要你現在開始培養「有錢體質」。 　　作者橫山光昭學的是會計，卻被公司派到門市當業務，　　因此他只待了幾年就離職，準備代書考試。　　當時的他才25歲，有兩個小孩要養，家裡卻只有他一份薪水。　　這樣很難存錢？錯，他利用自創的家計三分法、靠三本存摺，　　從跟人借錢來準備創業，到37歲不到就存到第一桶金，　　更成為日本累積銷量達300萬本以上的作家和理財顧問，　　幫助超過23,000個家庭，從月月赤字，變年年有餘。　　◎家計三分法，爽花5％照樣能存錢　　「你昨天花了多少錢？」很多人根本答不出來，因為你沒有記。　　有錢體質的關鍵是：記住自己花了多少錢，但千萬不要每筆花費都記，　　更不要從最複雜的伙食費開始，因為這是許多人記帳失敗的關鍵。　　按照作者自創的消、浪、投──家計三分法記帳，　　每個月除了固定的生活費，還能允許自己有5％爽爽花，照樣存大錢。　　◎有錢人必備三本存摺　　　變有錢的第一步，你要有三本存摺：　　日用摺：放每個月的日常開銷，最少要存放1.5個月生活費。　　儲蓄摺：薪水一入帳，馬上轉1/6薪水到這本存摺，且至少要放6個月生活費。　　理財摺：這裡面不要放現金，而是股票或基金。　　猜猜看，哪本存摺不要天天看？　　作者已持續這樣操作19年，累積的投資報酬率已達6%以上！　　◎跟你的父母、子女、另一半，談錢　　結婚和單身，哪個比較花錢？買房和租房，哪個划算？　　網路上最常討論的兩個大哉問，日本最強理財大師親自算給你看。　　要存多少錢才夠退休生活？只靠健保不要其他保險可以嗎？　　其實，有三種情況根本不需要買人壽險。  　　許多家庭的家計破口，在於這兩種投資：孩子的補習和才藝，　　如何用最快速度存到100萬，又不會降低生活品質？　　日本理財大師教你具體實踐，提早實現財富自由！各界推薦　　《散戶的50道難題》、《高手的養成》系列暢銷書作者／安納金　　《股海老牛專挑抱緊股，穩穩賺100%》作者／股海老牛　　聆韵企業管理顧問創辦人／徐慧玲　　粉專「寶可孟的理財記事本」版主／寶可孟",商業財經
45,女相(1),黎書,她一身白衣，英眉冷冽，揮劍指他，他卻笑灼顏開。他無賴道：“我昨夜夜觀星象，掐指一算，發現你命裡缺我。”,言情 輕小說
46,女相(2),黎書,她一身白衣，英眉冷冽，揮劍指他，他卻笑灼顏開。他無賴道：“我昨夜夜觀星象，掐指一算，發現你命裡缺我。”,言情 輕小說
47,女相(3),黎書,她一身白衣，英眉冷冽，揮劍指他，他卻笑灼顏開。他無賴道：“我昨夜夜觀星象，掐指一算，發現你命裡缺我。”,言情 輕小說
48,女相(4)完,黎書,她一身白衣，英眉冷冽，揮劍指他，他卻笑灼顏開。他無賴道：“我昨夜夜觀星象，掐指一算，發現你命裡缺我。”,言情 輕小說
49,女相(全),黎書,她一身白衣，英眉冷冽，揮劍指他，他卻笑灼顏開。他無賴道：“我昨夜夜觀星象，掐指一算，發現你命裡缺我。”,言情 輕小說
50,蜜愛嬌妻：總裁甜甜寵(1),阿嫻,陳小沐從來沒想過會遭遇被親妹妹戴綠帽子這種小說裡才會有的狗血情節……不過，幸好，所謂失之東隅收之桑榆……“喂，女人，你在發什麼呆呢？”孟氏集團總裁孟軒給她來了個摸頭殺！“啊！都說了不要摸頭不要摸頭，會變傻的。”某女抓狂道。“以後我當你的腦袋為你出謀劃策，走上人生巔峰好不好！”面對某男的土味情話，陳小沐表示完全沒有抵抗力啊……,言情 輕小說
51,蜜愛嬌妻：總裁甜甜寵(2),阿嫻,陳小沐從來沒想過會遭遇被親妹妹戴綠帽子這種小說裡才會有的狗血情節……不過，幸好，所謂失之東隅收之桑榆……“喂，女人，你在發什麼呆呢？”孟氏集團總裁孟軒給她來了個摸頭殺！“啊！都說了不要摸頭不要摸頭，會變傻的。”某女抓狂道。“以後我當你的腦袋為你出謀劃策，走上人生巔峰好不好！”面對某男的土味情話，陳小沐表示完全沒有抵抗力啊……,言情 輕小說
52,蜜愛嬌妻：總裁甜甜寵(3),阿嫻,陳小沐從來沒想過會遭遇被親妹妹戴綠帽子這種小說裡才會有的狗血情節……不過，幸好，所謂失之東隅收之桑榆……“喂，女人，你在發什麼呆呢？”孟氏集團總裁孟軒給她來了個摸頭殺！“啊！都說了不要摸頭不要摸頭，會變傻的。”某女抓狂道。“以後我當你的腦袋為你出謀劃策，走上人生巔峰好不好！”面對某男的土味情話，陳小沐表示完全沒有抵抗力啊……,言情 輕小說
53,蜜愛嬌妻：總裁甜甜寵(4)完,阿嫻,陳小沐從來沒想過會遭遇被親妹妹戴綠帽子這種小說裡才會有的狗血情節……不過，幸好，所謂失之東隅收之桑榆……“喂，女人，你在發什麼呆呢？”孟氏集團總裁孟軒給她來了個摸頭殺！“啊！都說了不要摸頭不要摸頭，會變傻的。”某女抓狂道。“以後我當你的腦袋為你出謀劃策，走上人生巔峰好不好！”面對某男的土味情話，陳小沐表示完全沒有抵抗力啊……,言情 輕小說
54,蜜愛嬌妻：總裁甜甜寵(全),阿嫻,陳小沐從來沒想過會遭遇被親妹妹戴綠帽子這種小說裡才會有的狗血情節……不過，幸好，所謂失之東隅收之桑榆……“喂，女人，你在發什麼呆呢？”孟氏集團總裁孟軒給她來了個摸頭殺！“啊！都說了不要摸頭不要摸頭，會變傻的。”某女抓狂道。“以後我當你的腦袋為你出謀劃策，走上人生巔峰好不好！”面對某男的土味情話，陳小沐表示完全沒有抵抗力啊……,言情 輕小說
55,總裁情深不淺(1),西柚,蘇軟軟被袁立琴送上李承燁的床上，本準備利用其幫助自己的女兒蘇糯糯上位，誰知卻被李大少爺看中帶進家中淪落為‘貼身傭人’還債。當小綿羊面對大灰狼，柔軟的毛蹭的一刻，冰冷的心從此變得火熱，她插翅難逃——,言情 輕小說
56,總裁情深不淺(2),西柚,蘇軟軟被袁立琴送上李承燁的床上，本準備利用其幫助自己的女兒蘇糯糯上位，誰知卻被李大少爺看中帶進家中淪落為‘貼身傭人’還債。當小綿羊面對大灰狼，柔軟的毛蹭的一刻，冰冷的心從此變得火熱，她插翅難逃——,言情 輕小說
57,總裁情深不淺(3),西柚,蘇軟軟被袁立琴送上李承燁的床上，本準備利用其幫助自己的女兒蘇糯糯上位，誰知卻被李大少爺看中帶進家中淪落為‘貼身傭人’還債。當小綿羊面對大灰狼，柔軟的毛蹭的一刻，冰冷的心從此變得火熱，她插翅難逃——,言情 輕小說
58,總裁情深不淺(4)完,西柚,蘇軟軟被袁立琴送上李承燁的床上，本準備利用其幫助自己的女兒蘇糯糯上位，誰知卻被李大少爺看中帶進家中淪落為‘貼身傭人’還債。當小綿羊面對大灰狼，柔軟的毛蹭的一刻，冰冷的心從此變得火熱，她插翅難逃——,言情 輕小說
59,總裁情深不淺(全),西柚,蘇軟軟被袁立琴送上李承燁的床上，本準備利用其幫助自己的女兒蘇糯糯上位，誰知卻被李大少爺看中帶進家中淪落為‘貼身傭人’還債。當小綿羊面對大灰狼，柔軟的毛蹭的一刻，冰冷的心從此變得火熱，她插翅難逃——,言情 輕小說
60,特工皇妃：魔王的寵妻(1),落雨,闕若羽在一場槍戰中不幸身亡，醒來後發現重生在前朝公主的身上，最鬱悶的還是身居冷宮，吃不飽穿不暖被人欺辱。她可是來自二十一世的特工殺手，難道還玩兒不轉一個古代！可不想，當她在冷宮逍遙快活的時候，卻不想被宮中的大魔王太子殿下給看中了，從此後生活的水深火熱。,言情 輕小說
61,特工皇妃：魔王的寵妻(2),落雨,闕若羽在一場槍戰中不幸身亡，醒來後發現重生在前朝公主的身上，最鬱悶的還是身居冷宮，吃不飽穿不暖被人欺辱。她可是來自二十一世的特工殺手，難道還玩兒不轉一個古代！可不想，當她在冷宮逍遙快活的時候，卻不想被宮中的大魔王太子殿下給看中了，從此後生活的水深火熱。,言情 輕小說
62,特工皇妃：魔王的寵妻(3),落雨,闕若羽在一場槍戰中不幸身亡，醒來後發現重生在前朝公主的身上，最鬱悶的還是身居冷宮，吃不飽穿不暖被人欺辱。她可是來自二十一世的特工殺手，難道還玩兒不轉一個古代！可不想，當她在冷宮逍遙快活的時候，卻不想被宮中的大魔王太子殿下給看中了，從此後生活的水深火熱。,言情 輕小說
63,特工皇妃：魔王的寵妻(4)完,落雨,闕若羽在一場槍戰中不幸身亡，醒來後發現重生在前朝公主的身上，最鬱悶的還是身居冷宮，吃不飽穿不暖被人欺辱。她可是來自二十一世的特工殺手，難道還玩兒不轉一個古代！可不想，當她在冷宮逍遙快活的時候，卻不想被宮中的大魔王太子殿下給看中了，從此後生活的水深火熱。,言情 輕小說
64,特工皇妃：魔王的寵妻(全),落雨,闕若羽在一場槍戰中不幸身亡，醒來後發現重生在前朝公主的身上，最鬱悶的還是身居冷宮，吃不飽穿不暖被人欺辱。她可是來自二十一世的特工殺手，難道還玩兒不轉一個古代！可不想，當她在冷宮逍遙快活的時候，卻不想被宮中的大魔王太子殿下給看中了，從此後生活的水深火熱。,言情 輕小說
65,總裁的契約情人(1),風一樣的我,六一兒童節，女總裁給兒子招聘臨時爸爸，結果對方竟然是死去的丈夫。惡婆婆、極品小姑、生病的公爹，究竟是誰設計出這樣的陰謀？只有失憶的老公最可愛，心甘情願當情人，會做家務、會打架、還會哄小包子。一家三口同心協力，所有的妖魔鬼怪都到碗裡來！等水落石出，女總裁才知道她全身心依賴的男人竟然是丈夫的孿生兄弟，怎麼破?,言情 輕小說
66,總裁的契約情人(2),風一樣的我,六一兒童節，女總裁給兒子招聘臨時爸爸，結果對方竟然是死去的丈夫。惡婆婆、極品小姑、生病的公爹，究竟是誰設計出這樣的陰謀？只有失憶的老公最可愛，心甘情願當情人，會做家務、會打架、還會哄小包子。一家三口同心協力，所有的妖魔鬼怪都到碗裡來！等水落石出，女總裁才知道她全身心依賴的男人竟然是丈夫的孿生兄弟，怎麼破?,言情 輕小說
67,總裁的契約情人(3),風一樣的我,六一兒童節，女總裁給兒子招聘臨時爸爸，結果對方竟然是死去的丈夫。惡婆婆、極品小姑、生病的公爹，究竟是誰設計出這樣的陰謀？只有失憶的老公最可愛，心甘情願當情人，會做家務、會打架、還會哄小包子。一家三口同心協力，所有的妖魔鬼怪都到碗裡來！等水落石出，女總裁才知道她全身心依賴的男人竟然是丈夫的孿生兄弟，怎麼破?,言情 輕小說
68,總裁的契約情人(4)完,風一樣的我,六一兒童節，女總裁給兒子招聘臨時爸爸，結果對方竟然是死去的丈夫。惡婆婆、極品小姑、生病的公爹，究竟是誰設計出這樣的陰謀？只有失憶的老公最可愛，心甘情願當情人，會做家務、會打架、還會哄小包子。一家三口同心協力，所有的妖魔鬼怪都到碗裡來！等水落石出，女總裁才知道她全身心依賴的男人竟然是丈夫的孿生兄弟，怎麼破?,言情 輕小說
69,總裁的契約情人(全),風一樣的我,六一兒童節，女總裁給兒子招聘臨時爸爸，結果對方竟然是死去的丈夫。惡婆婆、極品小姑、生病的公爹，究竟是誰設計出這樣的陰謀？只有失憶的老公最可愛，心甘情願當情人，會做家務、會打架、還會哄小包子。一家三口同心協力，所有的妖魔鬼怪都到碗裡來！等水落石出，女總裁才知道她全身心依賴的男人竟然是丈夫的孿生兄弟，怎麼破?,言情 輕小說
70,特工神醫俏皇妃(上),淺憶雪,二十一世紀的特工精英顧輕舞，因緣巧合之下穿越到一個不存在的國家。睜開眼睛那一刻，她從一個深藏不露的草包小姐變為狠戾的小魔頭。秉承著往後要隨心而活的遵旨，開酒店，辦妓院，玩的不亦樂乎，但很快，關乎種族生存的重任就降臨到她身上。這一次，她身邊好友無數，更有良人陪伴，為了所愛之人，她毅然踏上征程。,言情 輕小說
71,特工神醫俏皇妃(中),淺憶雪,二十一世紀的特工精英顧輕舞，因緣巧合之下穿越到一個不存在的國家。睜開眼睛那一刻，她從一個深藏不露的草包小姐變為狠戾的小魔頭。秉承著往後要隨心而活的遵旨，開酒店，辦妓院，玩的不亦樂乎，但很快，關乎種族生存的重任就降臨到她身上。這一次，她身邊好友無數，更有良人陪伴，為了所愛之人，她毅然踏上征程。,言情 輕小說
72,特工神醫俏皇妃(下),淺憶雪,二十一世紀的特工精英顧輕舞，因緣巧合之下穿越到一個不存在的國家。睜開眼睛那一刻，她從一個深藏不露的草包小姐變為狠戾的小魔頭。秉承著往後要隨心而活的遵旨，開酒店，辦妓院，玩的不亦樂乎，但很快，關乎種族生存的重任就降臨到她身上。這一次，她身邊好友無數，更有良人陪伴，為了所愛之人，她毅然踏上征程。,言情 輕小說
73,特工神醫俏皇妃(全),淺憶雪,二十一世紀的特工精英顧輕舞，因緣巧合之下穿越到一個不存在的國家。睜開眼睛那一刻，她從一個深藏不露的草包小姐變為狠戾的小魔頭。秉承著往後要隨心而活的遵旨，開酒店，辦妓院，玩的不亦樂乎，但很快，關乎種族生存的重任就降臨到她身上。這一次，她身邊好友無數，更有良人陪伴，為了所愛之人，她毅然踏上征程。,言情 輕小說
74,一晚情深(上),沈一一,“老婆，你最好安分一點。”他眼睛微眯，危險地看著眼前的小女人。她笑的嫵媚：“寶貝，難道不是你安分點？”他心中暗暗叫苦，遇上這麼個妖精，真是痛並快樂著！,言情 輕小說
75,一晚情深(中),沈一一,“老婆，你最好安分一點。”他眼睛微眯，危險地看著眼前的小女人。她笑的嫵媚：“寶貝，難道不是你安分點？”他心中暗暗叫苦，遇上這麼個妖精，真是痛並快樂著！,言情 輕小說
76,一晚情深(下),沈一一,“老婆，你最好安分一點。”他眼睛微眯，危險地看著眼前的小女人。她笑的嫵媚：“寶貝，難道不是你安分點？”他心中暗暗叫苦，遇上這麼個妖精，真是痛並快樂著！,言情 輕小說
77,一晚情深(全),沈一一,“老婆，你最好安分一點。”他眼睛微眯，危險地看著眼前的小女人。她笑的嫵媚：“寶貝，難道不是你安分點？”他心中暗暗叫苦，遇上這麼個妖精，真是痛並快樂著！,言情 輕小說
78,棄女成婚，太子殿下的寵妃(上),地縛靈,一個是被貶的太子殿下，一個是將軍的掌上明珠，被厭棄的太子殿下與遺棄的將軍府嫡女之間到底發生了怎樣的糾葛，且看太子殿下與將軍府嫡女如何翻身做主……        龍月是一個悲催的穿越者，一到這個世界就‘死了’，再睜開眼睛，卻發現自己在太子府，記憶剛剛恢復又因為毒藥失憶了，一找到親人又被拋棄了，沒關係，她可以跟著太子殿下，誰知道，太子妃居然是自己的妹妹……      龍月表示，她的人生就是因為這個太子殿下才變成這樣的。       龍月想要逃，結果……      “去哪？”“……”龍月被抓回來，再離開，龍月...,言情 輕小說
